"Allowed_Path_Or_Glob","Scope","Approval"
"scripts/ui/title_view.gd","Title-screen button layout repair only","TASK_SPECIFIED"
"scripts/ui/modal_layer.gd","Help-modal structure, scrolling, and bounds repair only","TASK_SPECIFIED"
"test/v2_ui_test.gd","V2 UI regression automation and evidence capture","TASK_SPECIFIED"
"test/v2_ui_test.tscn","V2 UI regression scene","TASK_SPECIFIED"
"test/shots_v2_ui/**","V2 UI runtime evidence","TASK_SPECIFIED"
"screenshots/**","Real post-fix runtime screenshots and README banner","TASK_SPECIFIED"
"tools/build_readme_banner.py","Deterministic banner composition from real runtime screenshots","TASK_SPECIFIED"
"README.md","Bilingual public project homepage","TASK_SPECIFIED"
"README_zh.md","Chinese public project homepage","TASK_SPECIFIED"
"README_一键运行说明.txt","Windows quick-start handoff","TASK_SPECIFIED"
".gitattributes","Stable text/binary handling and exact upstream license bytes","TASK_SPECIFIED"
"LICENSE","MIT license text","TASK_SPECIFIED"
"THIRD_PARTY_NOTICES.md","Third-party audit and notices","TASK_SPECIFIED"
"licenses/**","Exact upstream third-party license and copyright texts","TASK_SPECIFIED"
"CHANGELOG.md","Public release changelog","TASK_SPECIFIED"
"RELEASE_NOTES_v2.0.0.md","Release notes for v2.0.0","TASK_SPECIFIED"
".gitignore","Release/build/save/toolchain exclusions","TASK_SPECIFIED"
"export_presets.cfg","Windows file and product version metadata only","TASK_SPECIFIED"
"EXPORT_GUIDE.md","Correct v2.0.0 Windows export instructions","TASK_SPECIFIED"
"build_windows.ps1","Reproducible Windows x64 build and packaging","TASK_SPECIFIED"
"build_windows.bat","Windows build launcher","TASK_SPECIFIED"
"audit/**","Task evidence, hashes, tests, and verification reports","TASK_SPECIFIED"
"release/**","Locally staged release assets; excluded from Git","TASK_SPECIFIED"
