"Issue_ID","Perspective","Priority","Area","Finding","Resolution","Evidence","Status"
"VI-001","A. Godot 主程","P1","英雄运行时合成","旧程序化装备绘制路径可能与 PATCH4 资源路径并存。","新增 EquipmentVisualRegistry、HeroLayerPolicy 与 EquipmentVisualCompositor；hero_texture()/item_icon() 公共签名保持不变，装备外观统一走资源合成。","test/shots_equipment_runtime/11_full_sets_runtime.png; visual_integration_test.log","RESOLVED"
"VI-002","B. 技术美术","P1","五种头盔轮廓","皮帽、铁盔、战盔、骑士盔、龙首盔原候选轮廓区分不足。","基于 ImageGen 形状参考重新像素级设计五套 20x20 图标与 40x208 四帧层；保留材质和五元素粒子分离。","audit/design_references/helmet_pixel_redesign_contact_sheet.png; test/shots_equipment_runtime/06_helmets_silhouette_runtime.png","RESOLVED"
"VI-003","C. 像素角色设计师","P1","头盔与头发","头发可能从头盔覆盖区穿出。","为每顶头盔生成 allowed_hair、forbidden_hair、helmet_coverage、visible_hair 四类遮罩，并按策略裁切。","test/shots_equipment_runtime/07_helmet_hair_leak_debug.png; Asset_Preparation_Report.csv","RESOLVED"
"VI-004","D. 穿戴与遮挡审查员","P1","衣物分层","默认衣物可能从铠甲、裤子或鞋边缘露出。","冻结中性身体/脸/头发/手臂层；装备时按 body→pants→boots→armor→face→hair/helmet→arms→weapon/accessory→particles 合成。","test/shots_equipment_runtime/04_armor_5x4frames_runtime.png; 08_pants_5x4frames_runtime.png; 11_full_sets_runtime.png","RESOLVED"
"VI-005","E. 20x20 UI 图标审查员","P2","短剑与长剑","短剑和长剑在 20x20 下识别度不足。","缩短短剑刃长并调整护手/柄比例；自动检查四帧哈希不同且短剑像素长度更短。","test/shots_equipment_runtime/01_all_icons_175_runtime_1x.png; Asset_Preparation_Report.csv","RESOLVED"
"VI-006","E. 20x20 UI 图标审查员","P1","鞋类轮廓","鞋类在角色层中容易形成横向底座。","五种鞋逐帧改为左右两只分离足部，并加入无横向底座自动断言。","test/shots_equipment_runtime/09_boots_5x4frames_runtime.png; Asset_Preparation_Report.csv","RESOLVED"
"VI-007","F. 游戏回归测试员","P1","稀有度视觉","稀有度边框、光环或装备图像变化会违反文字-only 规则。","移除稀有度边框/光效；稀有度仅保留文字颜色、标签和说明；签名排除 rarity/prefix/affix。","test/shots_equipment_runtime/13_rarity_visual_invariance.png; 14_inventory_actual_ui.png","RESOLVED"
"VI-008","G. 反方审稿人","P2","整数缩放","非整数缩放可能造成像素模糊。","标题/弹窗使用 3x，战斗角色使用 4x，地图角色保持原生 1x，HUD 图标 2x，全部启用最近邻与整数位置。","test/shots/01_title.png; test/shots/03_map.png; test/shots_equipment_runtime/16_combat_actual_runtime.png","RESOLVED"
"VI-009","D. 穿戴与遮挡审查员","P2","武器握持与手臂","弓/弩的握持姿势及前后手臂层可能冲突。","近战保留中性手臂；弓与弩使用专用前后手臂层并校正锚点，重弩厚度按 PATCH4 修订层接入。","test/shots_equipment_runtime/03_weapons_10x4frames_runtime.png; 16_combat_actual_runtime.png","RESOLVED"
"VI-010","B. 技术美术","P2","五元素表达","元素效果可能覆盖装备基底或改变轮廓。","金木水火土仅叠加独立粒子层；自动验证 element 只改变 particles，基底和稀有度不改变图像结构。","test/shots_equipment_runtime/12_elements_runtime.png; visual_integration_test.log","RESOLVED"
"VI-011","F. 游戏回归测试员","P2","原 smoke 测试稳定性","smoke 用 min_rarity=RARE 构造精确稀有夹具，随机生成更高稀有度时会误报词条上限。","仅在 smoke 测试夹具中显式固定 rarity=RARE；未修改任何游戏逻辑；随后连续两轮及最终构建内回归全部通过。","audit/logs/smoke_test_initial_flaky_failure.log; smoke_test_pass_1.log; smoke_test_pass_2.log","RESOLVED"
"VI-012","A. Godot 主程","P2","Windows 一键构建","无控制台 Godot 编辑器在 PowerShell 自动化中可能过早返回。","构建脚本优先使用同版本官方 Godot_v4.3-stable_win64_console.exe，最终同步导入、测试、导出均成功。","audit/logs/build_windows_final_sync.log; Build_Windows_Result.json","RESOLVED"
"VI-013","G. 反方审稿人","P3","最终主观运行体验","不同显示器缩放与玩家审美下的最终体感无法由自动化完全替代。","无剩余代码缺陷；保留为最终用户运行确认项。","Runtime_Screenshots/; Windows 实机启动复核记录","USER_REVIEW"
